市区町村名	市区町村コード	1974年	1976年	1979年	1982年	1985年	1988年	1991年	1994年	1997年	1999年	2002年	2004年	2007年
静岡県 長泉町	223425	5,659 	8,282 	10,315 	19,382 	18,702 	20,914 	27,769 	32,610 	38,102 	32,653 	35,139 	31,876 	31,332 
静岡県 小山町	223441	4,686 	6,660 	7,872 	10,434 	11,135 	11,434 	12,449 	12,657 	11,442 	10,390 	9,427 	8,802 	10,865 
静岡県 吉田町	224243	4,042 	6,061 	8,265 	12,337 	19,947 	15,801 	19,232 	50,265 	35,886 	24,605 	23,163 	24,917 	27,084 
静岡県 川根本町	224294	1,030 	3,563 	4,574 	5,763 	6,720 	6,693 	7,728 	7,672 	8,174 	7,646 	6,820 	6,195 	5,663 
静岡県 森町	224618	4,204 	5,994 	7,631 	9,157 	9,630 	10,069 	11,369 	12,027 	10,497 	11,162 	9,753 	13,447 	11,530 
愛知県 名古屋市	231002	1,127,937 	1,450,039 	1,801,013 	2,216,917 	2,509,755 	2,756,188 	3,433,098 	3,431,465 	3,447,896 	3,508,490 	3,179,008 	3,066,661 	3,191,700 
愛知県 豊橋市	232017	126,275 	170,880 	226,508 	293,215 	322,267 	361,610 	448,185 	449,584 	462,198 	459,016 	408,574 	400,477 	418,084 
愛知県 岡崎市	232025	93,757 	119,105 	170,127 	224,313 	254,956 	296,724 	400,799 	397,898 	419,616 	398,812 	390,257 	396,281 	404,992 
愛知県 一宮市	232033	101,572 	147,560 	190,000 	235,293 	248,094 	295,525 	362,478 	377,963 	399,382 	378,636 	354,344 	358,958 	372,830 
愛知県 瀬戸市	232041	32,339 	48,787 	63,759 	82,026 	88,201 	95,078 	108,655 	123,068 	114,746 	109,108 	99,622 	94,463 	104,001 
愛知県 半田市	232050	37,062 	45,953 	64,617 	86,683 	95,613 	107,748 	148,204 	153,948 	161,809 	146,622 	155,354 	142,196 	154,357 
愛知県 春日井市	232068	55,114 	82,118 	127,095 	169,387 	187,793 	222,152 	283,602 	287,228 	308,632 	290,747 	309,054 	292,779 	306,524 
愛知県 豊川市	232076	39,150 	53,892 	81,431 	105,490 	113,896 	129,024 	174,993 	178,871 	192,593 	199,967 	203,385 	196,009 	198,217 
愛知県 津島市	232084	25,464 	31,993 	40,373 	49,988 	52,032 	59,091 	77,312 	76,471 	74,585 	75,694 	80,655 	88,831 	79,907 
愛知県 碧南市	232092	19,265 	28,107 	35,643 	45,401 	51,754 	57,068 	70,565 	68,645 	67,469 	70,379 	66,306 	64,044 	67,932 
愛知県 刈谷市	232106	38,734 	51,227 	70,139 	104,521 	117,177 	131,151 	167,836 	172,857 	170,459 	146,027 	153,642 	152,031 	161,600 
愛知県 豊田市	232114	80,336 	114,212 	171,366 	226,211 	268,874 	316,107 	400,230 	412,351 	424,079 	400,469 	384,136 	382,760 	396,274 
愛知県 安城市	232122	32,356 	44,862 	66,464 	100,959 	111,232 	125,602 	160,020 	171,550 	181,265 	176,499 	187,172 	181,368 	206,029 
