市区町村名	市区町村コード	1974年	1976年	1979年	1982年	1985年	1988年	1991年	1994年	1997年	1999年	2002年	2004年	2007年
北海道 札幌市	011002	574,382 	875,197 	1,189,960 	1,486,938 	1,549,027 	1,827,678 	2,320,746 	2,335,659 	2,488,985 	2,405,987 	2,263,748 	2,322,604 	2,133,509 
北海道 函館市	012025	146,225 	205,639 	264,208 	332,964 	346,487 	359,215 	433,505 	421,247 	432,867 	398,319 	366,394 	352,869 	328,683 
北海道 小樽市	012033	74,902 	105,846 	122,129 	147,117 	147,015 	149,222 	179,166 	178,611 	184,757 	185,607 	174,255 	159,217 	141,031 
北海道 旭川市	012041	178,497 	225,658 	289,997 	348,017 	359,035 	381,332 	476,616 	492,809 	510,155 	493,749 	440,487 	423,495 	403,997 
北海道 室蘭市	012050	75,431 	107,591 	117,029 	138,784 	139,176 	127,866 	143,591 	146,664 	140,615 	121,852 	110,153 	112,748 	96,524 
北海道 釧路市	012068	110,404 	155,735 	200,718 	238,524 	248,917 	258,341 	305,217 	299,225 	276,101 	252,009 	218,798 	212,103 	187,212 
北海道 帯広市	012076	86,941 	131,713 	181,164 	216,696 	231,833 	235,719 	281,027 	299,946 	276,823 	283,007 	279,119 	261,853 	239,859 
北海道 北見市	012084	59,256 	79,654 	110,479 	138,222 	151,801 	151,335 	180,280 	195,811 	210,290 	199,803 	185,384 	180,860 	172,074 
北海道 夕張市	012092	17,149 	24,738 	25,405 	28,740 	25,472 	21,831 	19,571 	18,712 	17,095 	14,868 	13,062 	12,518 	11,343 
北海道 岩見沢市	012106	37,279 	65,960 	86,195 	94,275 	99,976 	100,381 	126,666 	129,692 	125,156 	126,239 	112,478 	98,883 	97,070 
北海道 網走市	012114	18,985 	27,714 	38,537 	48,390 	49,128 	51,410 	56,189 	60,070 	62,648 	55,892 	54,115 	51,546 	50,497 
北海道 留萌市	012122	20,540 	25,279 	30,309 	34,394 	37,113 	37,355 	40,545 	39,966 	40,751 	37,107 	37,084 	33,680 	32,396 
北海道 苫小牧市	012131	65,515 	102,351 	127,586 	159,770 	163,252 	168,594 	219,224 	221,165 	254,427 	228,119 	210,475 	204,509 	204,041 
北海道 稚内市	012149	23,897 	40,174 	43,531 	55,548 	59,501 	57,578 	64,450 	69,650 	72,728 	66,767 	63,009 	60,779 	63,886 
北海道 美唄市	012157	13,771 	20,010 	23,745 	32,879 	32,883 	32,247 	34,166 	34,404 	36,019 	28,825 	26,032 	23,416 	22,224 
北海道 芦別市	012165	14,125 	19,361 	25,220 	26,632 	26,056 	24,789 	24,280 	24,208 	20,696 	17,837 	16,260 	15,709 	13,646 
北海道 江別市	012173	20,866 	32,932 	45,026 	60,640 	56,805 	64,975 	84,627 	87,422 	98,143 	107,596 	102,087 	99,443 	91,847 
北海道 赤平市	012181	9,633 	16,127 	15,563 	18,356 	18,660 	19,785 	22,917 	15,868 	14,049 	14,723 	12,445 	11,747 	11,096 
北海道 紋別市	012190	16,275 	24,517 	32,177 	36,705 	37,876 	32,331 	36,534 	37,828 	40,863 	40,897 	36,346 	35,948 	35,661 
北海道 士別市	012203	13,764 	22,932 	27,782 	35,261 	31,784 	34,181 	31,499 	33,809 	37,070 	39,184 	33,091 	30,457 	29,534 
北海道 名寄市	012211	18,045 	31,660 	36,116 	41,826 	42,115 	43,128 	49,549 	46,275 	46,695 	42,195 	43,845 	42,502 	40,269 
北海道 三笠市	012220	7,488 	10,465 	12,727 	15,329 	14,809 	13,541 	11,997 	10,844 	10,026 	8,888 	8,610 	6,039 	12,700 
北海道 根室市	012238	17,605 	25,826 	36,021 	40,403 	41,552 	40,447 	41,960 	41,004 	44,329 	45,999 	40,406 	38,724 	35,031 
北海道 千歳市	012246	20,904 	33,872 	45,945 	65,840 	73,554 	82,021 	102,399 	116,293 	129,555 	118,448 	120,182 	120,329 	117,989 
北海道 滝川市	012254	23,626 	35,069 	46,905 	57,335 	59,017 	63,166 	70,569 	70,560 	68,939 	62,769 	58,503 	53,531 	52,487 
北海道 砂川市	012262	10,049 	21,531 	19,234 	26,047 	25,635 	24,589 	29,166 	31,607 	33,727 	31,580 	29,261 	26,175 	23,066 
北海道 歌志内市	012271	3,412 	4,470 	5,150 	6,317 	6,959 	4,460 	5,037 	4,563 	2,917 	2,891 	2,074 	2,193 	1,874 
北海道 深川市	012289	18,130 	26,460 	31,517 	37,415 	40,278 	36,262 	42,446 	42,867 	44,279 	36,411 	33,825 	32,299 	27,369 
北海道 富良野市	012297	14,491 	24,628 	28,940 	35,697 	36,429 	32,578 	40,857 	42,027 	46,522 	38,030 	41,389 	44,377 	34,426 
北海道 登別市	012301	12,710 	19,752 	27,093 	35,613 	34,816 	36,959 	42,917 	50,515 	58,100 	51,455 	47,806 	46,677 	45,667 
北海道 恵庭市	012319	13,831 	21,994 	26,848 	34,287 	39,160 	44,286 	58,749 	59,172 	60,167 	60,179 	57,058 	52,959 	53,503 
北海道 伊達市	012335	13,759 	20,863 	28,059 	35,514 	35,806 	36,319 	43,552 	47,711 	50,619 	51,254 	47,070 	44,458 	42,000 
北海道 北広島市	012343	3,188 	7,507 	12,064 	17,769 	18,620 	21,021 	28,414 	39,532 	40,175 	35,030 	36,677 	43,932 	47,923 
北海道 石狩市	012351	3,079 	5,786 	10,619 	18,183 	20,723 	21,124 	26,539 	32,881 	40,697 	39,770 	42,146 	41,881 	45,007 
北海道 北斗市	012360	7,642 	12,206 	17,100 	24,481 	16,499 	24,906 	32,372 	42,812 	59,306 	64,635 	61,782 	59,148 	55,432 
北海道 当別町	013030	6,023 	10,729 	11,119 	14,434 	14,460 	12,622 	14,209 	16,413 	19,080 	13,958 	13,972 	14,857 	12,813 
北海道 新篠津村	013048	－	－	－	－	4,195 	3,734 	－	－	－	－	3,508 	3,302 	－
北海道 松前町	013315	3,517 	5,859 	8,220 	8,706 	8,774 	8,200 	8,068 	8,808 	9,158 	8,496 	7,369 	7,388 	6,661 
北海道 福島町	013323	2,062 	3,023 	4,555 	5,762 	5,610 	4,610 	4,838 	5,161 	4,706 	4,329 	3,853 	3,511 	3,187 
北海道 知内町	013331	1,235 	2,545 	2,785 	3,538 	3,827 	3,109 	3,225 	－	－	2,899 	3,091 	－	2,732 
北海道 木古内町	013340	3,003 	5,275 	6,040 	7,655 	7,923 	7,821 	9,298 	8,863 	9,481 	7,548 	6,669 	5,704 	5,099 
北海道 七飯町	013374	3,052 	6,392 	7,126 	10,480 	11,881 	11,310 	14,359 	14,603 	17,214 	17,165 	16,726 	15,601 	14,398 
北海道 鹿部町	013439	－	1,436 	2,163 	2,037 	2,969 	2,527 	2,651 	2,694 	3,083 	3,018 	3,276 	3,133 	3,178 
北海道 森町	013455	7,413 	9,083 	11,328 	13,314 	15,975 	19,240 	20,257 	21,662 	21,454 	20,762 	19,515 	17,610 	18,647 
北海道 八雲町	013463	7,066 	11,848 	16,336 	17,822 	21,262 	20,144 	22,062 	22,426 	25,633 	25,742 	23,609 	24,317 	23,400 
北海道 長万部町	013471	4,310 	5,725 	8,051 	9,031 	9,035 	8,322 	8,570 	8,950 	8,705 	7,695 	8,857 	7,920 	6,820 
北海道 江差町	013617	5,828 	8,515 	9,652 	13,920 	12,913 	14,599 	16,333 	16,247 	16,268 	17,655 	12,252 	13,396 	10,711 
北海道 上ノ国町	013625	1,259 	2,083 	2,598 	－	－	－	－	－	4,781 	4,409 	4,289 	－	3,737 
北海道 厚沢部町	013633	2,146 	3,680 	4,478 	6,091 	5,172 	5,082 	5,182 	5,490 	5,518 	6,119 	5,730 	4,513 	5,001 
北海道 乙部町	013641	1,519 	2,163 	2,492 	3,046 	2,908 	2,997 	3,394 	3,519 	3,432 	3,808 	3,787 	8,187 	2,426 
北海道 奥尻町	013676	1,298 	－	－	3,440 	2,850 	2,841 	2,954 	－	－	3,404 	3,315 	3,269 	2,889 
北海道 今金町	013706	3,839 	5,700 	9,028 	9,618 	9,255 	9,724 	10,444 	12,215 	－	9,875 	9,033 	8,898 	7,751 
北海道 せたな町	013714	4,710 	8,322 	10,232 	8,789 	8,891 	10,527 	11,472 	11,013 	10,367 	12,830 	9,606 	8,321 	7,897 
北海道 島牧村	013919	424 	528 	640 	969 	1,014 	910 	－	901 	928 	974 	984 	886 	797 
北海道 寿都町	013927	1,659 	2,992 	3,362 	4,040 	3,863 	4,054 	3,761 	3,349 	3,212 	2,889 	3,074 	2,574 	2,395 
北海道 黒松内町	013935	1,479 	2,070 	1,969 	2,893 	3,316 	3,334 	3,473 	3,352 	3,209 	－	2,882 	－	－
北海道 蘭越町	013943	3,402 	4,694 	5,019 	5,634 	7,099 	5,411 	6,285 	5,808 	6,020 	5,457 	5,398 	4,354 	4,863 
北海道 ニセコ町	013951	1,995 	3,105 	3,018 	3,129 	3,236 	3,174 	3,209 	3,046 	2,881 	2,796 	3,095 	3,270 	3,578 
北海道 真狩村	013960	－	1,181 	1,582 	1,840 	1,854 	1,813 	1,656 	1,419 	1,776 	1,742 	1,886 	1,716 	1,403 
北海道 留寿都村	013978	－	－	－	2,223 	2,257 	1,261 	1,730 	3,264 	2,997 	2,873 	5,392 	1,288 	1,617 
北海道 喜茂別町	013986	1,395 	2,339 	2,986 	4,773 	4,067 	3,857 	4,510 	3,923 	3,720 	3,542 	2,882 	2,955 	2,598 
北海道 京極町	013994	1,191 	1,816 	2,149 	3,141 	2,591 	2,260 	2,306 	2,418 	2,276 	3,325 	3,411 	3,425 	3,361 
北海道 倶知安町	014001	7,860 	13,439 	15,691 	22,186 	22,577 	22,043 	26,448 	25,654 	26,350 	25,781 	23,064 	23,275 	23,212 
北海道 共和町	014010	－	－	4,964 	6,294 	－	6,816 	6,267 	7,636 	7,553 	7,188 	9,012 	8,686 	9,928 
北海道 岩内町	014028	9,875 	12,505 	17,237 	21,376 	21,202 	21,209 	21,313 	21,214 	21,137 	18,594 	16,357 	15,234 	13,581 
北海道 泊村	014036	457 	－	－	－	－	－	1,143 	－	1,359 	985 	－	－	－
北海道 神恵内村	014044	324 	388 	－	－	－	－	－	－	－	－	－	－	547 
北海道 積丹町	014052	930 	1,331 	1,834 	2,222 	2,246 	2,052 	2,027 	1,862 	2,292 	1,664 	1,553 	1,502 	1,351 
北海道 古平町	014061	1,224 	2,129 	2,686 	3,372 	3,172 	3,381 	3,124 	2,990 	2,945 	2,433 	2,423 	2,180 	1,816 
北海道 仁木町	014079	773 	1,803 	2,169 	2,905 	2,855 	2,736 	3,160 	2,613 	3,247 	1,831 	2,746 	2,233 	1,638 
北海道 余市町	014087	9,535 	13,557 	19,020 	21,831 	21,162 	22,315 	25,318 	29,871 	28,498 	30,266 	28,603 	25,332 	25,291 
北海道 赤井川村	014095	321 	475 	－	845 	856 	－	－	－	－	－	－	－	－
北海道 南幌町	014231	2,280 	3,347 	3,692 	－	－	3,950 	4,905 	5,596 	5,980 	6,179 	6,026 	5,874 	5,534 
北海道 奈井江町	014249	3,535 	5,541 	6,171 	7,548 	7,690 	6,508 	7,069 	7,417 	6,504 	5,676 	5,659 	5,552 	4,403 
北海道 上砂川町	014257	3,429 	4,729 	5,293 	6,326 	5,786 	3,918 	3,419 	3,336 	3,181 	2,653 	2,049 	1,832 	－
北海道 由仁町	014273	4,902 	8,661 	9,190 	10,029 	11,975 	11,144 	11,700 	10,578 	11,275 	9,314 	6,691 	5,425 	6,348 
北海道 長沼町	014281	6,346 	11,525 	12,353 	11,869 	13,650 	12,734 	13,945 	14,904 	18,031 	13,131 	12,482 	13,670 	14,356 
北海道 栗山町	014290	8,383 	12,237 	13,963 	18,907 	19,529 	18,067 	19,250 	20,972 	21,807 	19,768 	17,267 	17,087 	17,915 
北海道 月形町	014303	2,652 	4,250 	4,209 	5,084 	6,202 	3,872 	5,070 	4,060 	3,763 	－	－	3,351 	3,447 
北海道 浦臼町	014311	－	1,605 	－	－	3,110 	－	2,863 	2,870 	2,851 	－	2,179 	－	1,664 
北海道 新十津川町	014320	2,317 	－	5,143 	6,507 	－	6,078 	6,297 	6,091 	5,938 	6,257 	5,166 	4,676 	5,091 
北海道 妹背牛町	014338	2,157 	3,571 	4,852 	5,356 	5,491 	5,982 	4,910 	6,589 	5,654 	4,565 	3,393 	4,271 	3,660 
北海道 秩父別町	014346	－	－	－	－	－	4,381 	－	3,248 	－	2,595 	－	2,520 	2,038 
北海道 雨竜町	014362	－	－	－	3,146 	3,488 	3,505 	3,533 	3,651 	3,431 	2,312 	2,530 	2,173 	2,337 
北海道 北竜町	014371	－	－	－	－	－	3,963 	2,978 	3,898 	－	3,210 	－	2,636 	2,352 
北海道 沼田町	014389	－	－	－	6,766 	6,386 	5,885 	5,450 	6,396 	6,835 	5,498 	－	－	－
北海道 鷹栖町	014524	－	－	－	－	－	－	4,007 	－	4,468 	3,888 	4,055 	3,040 	3,401 
北海道 東神楽町	014532	－	－	2,803 	－	－	3,781 	3,878 	5,611 	6,133 	5,703 	5,907 	9,129 	12,424 
北海道 当麻町	014541	3,413 	3,732 	4,269 	7,767 	7,289 	6,767 	4,989 	5,698 	6,216 	4,927 	5,280 	5,381 	6,270 
北海道 比布町	014559	1,740 	－	3,052 	3,686 	3,821 	3,116 	3,285 	4,110 	4,176 	－	3,524 	3,170 	2,875 
北海道 愛別町	014567	－	－	－	－	－	－	－	－	3,860 	3,194 	3,612 	3,065 	2,990 
北海道 上川町	014575	3,362 	5,074 	6,312 	6,570 	6,181 	5,542 	5,651 	6,027 	6,487 	5,253 	4,284 	4,293 	4,762 
北海道 東川町	014583	－	4,401 	4,854 	5,060 	5,773 	4,856 	5,354 	5,538 	5,556 	4,567 	4,196 	4,532 	4,747 
北海道 美瑛町	014591	4,681 	7,500 	10,962 	15,644 	15,394 	13,630 	15,098 	15,418 	15,596 	12,347 	13,249 	12,895 	12,675 
北海道 上富良野町	014605	4,805 	6,226 	9,698 	8,577 	8,557 	9,328 	9,336 	9,844 	8,782 	9,048 	9,572 	9,196 	8,254 
北海道 中富良野町	014613	2,177 	2,726 	－	－	3,817 	3,795 	－	5,658 	5,706 	－	－	－	7,236 
北海道 南富良野町	014621	－	－	－	－	－	－	－	2,746 	2,257 	2,164 	2,198 	－	2,394 
北海道 占冠村	014630	578 	696 	685 	928 	1,003 	1,167 	1,534 	1,717 	－	882 	891 	－	1,367 
北海道 和寒町	014648	2,328 	3,132 	4,098 	5,086 	5,203 	5,038 	5,121 	6,250 	5,410 	4,829 	3,638 	3,029 	2,662 
北海道 剣淵町	014656	2,003 	3,485 	3,897 	3,775 	3,371 	3,734 	3,241 	3,517 	3,505 	－	2,550 	－	3,646 
北海道 下川町	014681	2,830 	3,879 	4,734 	4,417 	3,913 	3,635 	3,696 	3,389 	3,280 	3,058 	2,997 	2,687 	2,886 
北海道 美深町	014699	4,059 	5,919 	7,118 	8,827 	8,953 	7,912 	8,692 	8,637 	8,905 	7,762 	7,130 	6,587 	7,088 
北海道 音威子府村	014702	803 	1,085 	1,046 	1,496 	1,417 	1,278 	1,258 	－	－	1,000 	－	622 	－
北海道 中川町	014711	－	2,290 	2,805 	3,474 	－	3,244 	－	3,084 	2,921 	－	－	－	－
北海道 幌加内町	014729	－	－	－	－	－	－	2,442 	－	－	－	－	－	－
北海道 増毛町	014818	1,906 	2,463 	3,399 	4,361 	4,727 	4,403 	4,057 	3,994 	4,306 	4,165 	4,027 	5,570 	3,442 
北海道 小平町	014826	－	－	2,167 	－	－	2,886 	－	－	－	2,335 	2,319 	2,118 	1,777 
北海道 苫前町	014834	－	－	－	－	4,585 	4,746 	－	－	4,802 	3,961 	2,120 	1,837 	1,407 
北海道 羽幌町	014842	5,670 	10,264 	10,475 	12,908 	14,270 	14,380 	13,034 	11,445 	12,450 	11,692 	12,959 	10,788 	10,742 
北海道 初山別村	014851	614 	713 	1,112 	1,555 	1,765 	1,590 	1,475 	1,341 	1,350 	656 	736 	725 	527 
北海道 遠別町	014869	2,550 	3,490 	4,666 	4,746 	5,350 	4,587 	4,804 	4,533 	4,721 	4,414 	3,655 	4,022 	3,375 
北海道 天塩町	014877	3,130 	3,868 	5,335 	5,660 	6,338 	5,859 	7,029 	6,596 	6,645 	5,025 	4,065 	3,613 	－
北海道 猿払村	015113	776 	－	－	－	－	－	－	2,291 	－	－	－	－	1,989 
北海道 浜頓別町	015121	2,862 	4,192 	7,000 	7,523 	7,071 	6,881 	7,336 	7,173 	8,354 	6,993 	7,089 	6,179 	5,722 
北海道 中頓別町	015130	1,940 	2,637 	－	－	－	－	－	－	－	－	－	－	－
北海道 枝幸町	015148	5,930 	6,580 	11,834 	10,215 	10,335 	10,295 	12,237 	13,653 	11,693 	12,042 	12,750 	11,459 	11,283 
北海道 豊富町	015164	3,028 	3,375 	8,996 	8,548 	8,873 	6,141 	8,702 	11,604 	12,584 	8,261 	7,493 	8,391 	10,801 
北海道 礼文町	015172	1,859 	2,286 	2,765 	－	3,893 	－	3,671 	－	－	－	－	－	－
北海道 利尻町	015181	1,517 	1,826 	2,343 	2,886 	2,954 	2,810 	2,995 	2,869 	3,467 	2,840 	3,425 	3,042 	2,212 
北海道 利尻富士町	015199	－	2,051 	－	－	－	3,922 	3,894 	3,853 	4,042 	－	－	－	2,994 
北海道 幌延町	015202	1,387 	2,855 	3,216 	3,924 	4,221 	3,746 	3,463 	3,501 	3,478 	3,619 	－	3,338 	3,304 
北海道 美幌町	015431	15,075 	23,402 	26,733 	35,549 	36,978 	35,715 	39,884 	37,926 	42,360 	37,088 	36,057 	35,764 	33,862 
北海道 津別町	015440	4,030 	5,075 	5,899 	8,737 	8,547 	6,759 	6,585 	5,210 	4,927 	5,864 	5,994 	5,197 	5,071 
北海道 斜里町	015458	7,892 	11,214 	12,903 	19,125 	19,183 	15,640 	18,306 	18,028 	22,568 	21,052 	20,580 	18,770 	19,117 
北海道 清里町	015466	3,550 	4,451 	5,361 	7,208 	6,677 	5,741 	4,849 	4,457 	4,376 	5,289 	4,577 	4,760 	3,825 
北海道 小清水町	015474	4,238 	6,759 	9,574 	12,001 	11,546 	10,919 	10,878 	11,016 	9,636 	8,471 	9,712 	9,234 	9,564 
北海道 訓子府町	015491	3,338 	5,343 	5,984 	7,593 	8,140 	6,545 	7,573 	7,600 	7,890 	6,326 	6,298 	6,076 	7,202 
北海道 置戸町	015504	2,167 	3,903 	4,725 	5,973 	5,418 	4,647 	5,082 	5,186 	4,676 	4,634 	3,886 	3,038 	2,917 
北海道 佐呂間町	015521	3,243 	5,429 	9,425 	9,008 	11,568 	8,243 	7,352 	6,248 	6,102 	9,081 	8,005 	4,959 	5,830 
北海道 遠軽町	015555	12,328 	21,168 	23,047 	26,905 	28,195 	29,553 	26,952 	32,892 	30,510 	30,884 	27,576 	24,874 	35,534 
北海道 湧別町	015598	5,427 	7,577 	10,686 	14,165 	15,509 	12,578 	14,142 	13,932 	14,691 	11,027 	11,288 	12,807 	11,731 
北海道 滝上町	015601	2,712 	3,271 	3,931 	4,735 	4,841 	4,256 	4,361 	4,405 	4,362 	－	3,736 	3,972 	3,277 
北海道 興部町	015610	3,629 	3,987 	4,940 	6,010 	8,027 	7,668 	7,738 	7,716 	8,104 	7,297 	7,168 	6,663 	6,125 
北海道 西興部村	015628	－	－	－	－	－	－	－	708 	－	－	593 	－	－
北海道 雄武町	015636	3,119 	4,513 	6,789 	8,530 	8,600 	7,336 	6,803 	8,254 	6,398 	7,278 	6,304 	8,126 	7,133 
北海道 大空町	015644	4,498 	6,646 	8,623 	11,015 	12,056 	7,892 	11,456 	12,383 	7,855 	7,653 	7,520 	7,003 	10,669 
北海道 豊浦町	015717	1,850 	2,367 	2,782 	3,461 	3,576 	4,229 	4,301 	5,276 	4,122 	3,732 	3,961 	3,334 	3,023 
北海道 壮瞥町	015750	－	1,487 	2,155 	－	－	－	6,070 	5,482 	4,648 	4,670 	3,664 	2,792 	－
北海道 白老町	015784	6,870 	8,921 	11,506 	16,743 	17,233 	17,606 	19,145 	19,339 	18,378 	16,362 	15,431 	14,033 	14,792 
北海道 厚真町	015814	1,946 	3,970 	4,421 	5,727 	5,778 	5,562 	5,580 	5,875 	6,225 	5,089 	5,055 	4,418 	5,319 
北海道 洞爺湖町	015849	5,900 	9,691 	10,216 	12,701 	14,128 	11,185 	11,320 	12,251 	10,370 	12,297 	10,236 	9,014 	8,654 
北海道 安平町	015857	3,136 	2,566 	4,066 	8,575 	10,672 	7,787 	8,962 	8,781 	8,383 	4,694 	4,192 	6,395 	5,172 
北海道 むかわ町	015865	5,478 	5,801 	8,005 	9,981 	8,343 	8,784 	8,054 	10,677 	11,714 	8,897 	9,996 	8,661 	8,337 
北海道 日高町	016012	6,212 	8,975 	14,086 	19,448 	20,052 	19,242 	21,833 	23,303 	18,744 	15,223 	20,509 	16,265 	17,398 
北海道 平取町	016021	－	－	5,528 	8,500 	－	8,005 	7,976 	8,066 	6,935 	7,109 	6,634 	5,896 	3,273 
北海道 新冠町	016047	2,029 	2,803 	3,256 	4,145 	3,999 	3,746 	5,415 	5,759 	5,528 	6,752 	4,671 	－	－
北海道 浦河町	016071	8,269 	10,458 	12,670 	17,385 	18,797 	16,326 	17,464 	20,183 	21,876 	21,414 	20,303 	17,931 	15,812 
北海道 様似町	016080	2,715 	3,646 	4,964 	6,893 	7,460 	7,390 	7,319 	7,288 	7,208 	5,986 	5,370 	5,038 	4,657 
北海道 えりも町	016098	1,677 	－	3,506 	4,525 	4,334 	5,609 	6,113 	5,267 	4,492 	4,446 	3,959 	3,992 	3,733 
北海道 新ひだか町	016101	18,267 	24,514 	32,158 	38,879 	37,507 	38,107 	42,822 	43,430 	42,681 	36,632 	38,250 	36,487 	33,112 
北海道 音更町	016314	5,202 	8,711 	11,545 	16,745 	17,882 	19,092 	26,311 	30,781 	40,924 	40,538 	42,771 	38,930 	38,653 
北海道 士幌町	016322	2,104 	6,025 	－	－	6,682 	6,057 	5,394 	6,780 	7,510 	7,680 	5,849 	－	－
北海道 上士幌町	016331	2,315 	4,824 	7,035 	8,176 	8,407 	7,613 	9,559 	9,122 	10,005 	7,939 	8,013 	8,036 	8,720 
北海道 鹿追町	016349	3,460 	3,594 	4,148 	5,313 	9,530 	4,323 	－	－	4,475 	4,237 	－	－	－
北海道 新得町	016357	3,078 	4,922 	6,872 	8,841 	7,946 	6,463 	7,632 	7,883 	7,906 	12,212 	8,029 	7,702 	7,387 
北海道 清水町	016365	4,959 	6,344 	10,430 	12,738 	15,186 	14,454 	16,798 	17,066 	17,424 	14,888 	14,114 	15,454 	15,071 
北海道 芽室町	016373	6,877 	10,763 	14,396 	17,229 	19,641 	21,649 	16,495 	21,157 	36,695 	33,487 	31,633 	35,048 	30,512 
北海道 中札内村	016381	1,228 	－	－	2,533 	2,731 	4,912 	5,060 	5,691 	5,313 	4,705 	4,116 	4,906 	5,076 
北海道 更別村	016390	949 	－	1,588 	2,562 	2,563 	2,145 	2,430 	2,162 	2,471 	2,278 	2,311 	2,454 	2,247 
北海道 大樹町	016411	2,907 	7,122 	8,602 	11,553 	12,374 	10,488 	11,692 	11,490 	11,282 	11,015 	10,219 	11,157 	9,320 
北海道 広尾町	016420	3,935 	5,295 	7,708 	10,034 	11,078 	9,555 	9,974 	10,449 	11,503 	10,393 	9,525 	9,497 	7,222 
北海道 幕別町	016438	5,365 	8,748 	14,128 	20,355 	19,991 	17,903 	21,916 	26,494 	25,593 	33,715 	25,902 	26,564 	27,728 
北海道 池田町	016446	4,283 	5,530 	7,693 	10,041 	10,514 	9,893 	9,820 	9,893 	9,032 	9,594 	9,995 	9,142 	7,369 
北海道 豊頃町	016454	1,546 	2,124 	3,512 	3,197 	5,788 	5,240 	－	－	3,945 	－	3,215 	2,934 	－
北海道 本別町	016462	6,516 	10,576 	13,675 	16,072 	16,472 	14,782 	16,522 	16,198 	15,583 	15,101 	13,905 	11,823 	12,432 
北海道 足寄町	016471	5,871 	8,551 	10,173 	14,952 	14,707 	10,986 	11,986 	14,284 	13,582 	11,838 	11,700 	10,991 	11,167 
北海道 陸別町	016489	2,154 	2,965 	3,195 	4,528 	6,235 	4,227 	4,353 	4,228 	4,105 	3,722 	3,599 	3,596 	3,210 
北海道 浦幌町	016497	3,732 	5,639 	6,853 	8,208 	9,329 	7,424 	9,668 	9,345 	9,553 	7,807 	6,531 	7,118 	6,307 
北海道 釧路町	016616	949 	3,186 	4,158 	6,504 	8,309 	11,137 	20,204 	24,676 	41,672 	38,782 	46,972 	47,023 	45,046 
北海道 厚岸町	016624	6,561 	10,873 	13,825 	16,643 	16,662 	15,657 	16,876 	16,883 	16,468 	16,331 	14,436 	12,633 	11,475 
北海道 浜中町	016632	3,615 	5,422 	7,020 	8,739 	7,883 	9,102 	9,465 	8,709 	9,260 	8,722 	7,984 	7,489 	8,210 
北海道 標茶町	016641	6,914 	9,654 	7,612 	10,168 	16,652 	10,344 	13,406 	13,827 	14,445 	14,712 	12,459 	12,652 	10,586 
北海道 弟子屈町	016659	5,112 	7,012 	12,357 	15,512 	14,420 	11,211 	14,225 	15,029 	15,197 	12,314 	9,857 	9,322 	7,860 
北海道 鶴居村	016675	1,459 	2,406 	3,471 	－	－	－	3,470 	3,447 	3,413 	3,569 	－	－	2,810 
北海道 白糠町	016683	－	7,232 	8,770 	11,542 	10,239 	10,328 	10,774 	11,207 	10,235 	9,965 	10,652 	8,589 	8,078 
北海道 別海町	016918	7,343 	12,522 	18,819 	20,095 	18,298 	18,021 	15,890 	20,395 	21,319 	19,812 	24,337 	22,005 	18,893 
北海道 中標津町	016926	14,648 	24,834 	34,236 	40,400 	41,938 	43,329 	50,202 	49,012 	55,079 	51,462 	53,026 	53,706 	57,677 
北海道 標津町	016934	3,830 	5,098 	6,292 	7,336 	8,882 	6,969 	8,256 	7,943 	8,637 	8,068 	7,875 	7,913 	7,367 
北海道 羅臼町	016942	－	－	4,828 	6,024 	6,647 	5,918 	6,569 	5,825 	5,893 	6,444 	5,460 	5,381 	5,944 
青森県 青森市	022012	113,397 	166,868 	243,073 	294,498 	308,997 	306,561 	370,462 	402,717 	396,678 	395,631 	366,233 	357,131 	353,293 
青森県 弘前市	022021	67,030 	100,553 	142,933 	167,533 	174,055 	195,057 	221,777 	248,292 	256,805 	249,858 	227,215 	228,552 	222,555 
青森県 八戸市	022039	97,576 	132,554 	184,202 	224,511 	245,770 	252,102 	310,113 	332,072 	348,135 	346,360 	316,265 	310,677 	301,325 
青森県 黒石市	022047	10,634 	17,976 	23,593 	33,004 	34,041 	33,754 	34,851 	38,800 	36,527 	40,247 	37,190 	34,696 	32,368 
青森県 五所川原市	022055	23,146 	43,599 	57,893 	70,784 	68,573 	70,265 	78,198 	77,668 	70,885 	76,082 	71,368 	73,081 	71,871 
青森県 十和田市	022063	27,566 	39,970 	51,927 	62,513 	64,267 	66,760 	73,868 	87,447 	91,291 	88,939 	85,039 	83,400 	82,289 
青森県 三沢市	022071	13,707 	21,024 	28,312 	36,791 	41,364 	36,875 	41,705 	52,961 	52,926 	46,052 	45,124 	41,549 	37,326 
青森県 むつ市	022080	20,975 	34,484 	45,891 	58,500 	61,491 	65,745 	73,760 	81,542 	88,423 	84,296 	79,746 	79,557 	73,842 
青森県 つがる市	022098	7,136 	16,341 	11,999 	16,446 	19,398 	20,849 	24,923 	32,919 	37,528 	38,818 	45,587 	40,161 	36,846 
青森県 平川市	022101	4,979 	6,868 	9,443 	10,526 	11,294 	12,033 	14,197 	17,073 	19,476 	17,047 	20,248 	20,480 	19,361 
青森県 平内町	023019	3,116 	3,550 	5,532 	6,895 	6,678 	6,429 	6,951 	7,898 	8,055 	7,041 	6,212 	5,679 	5,923 
青森県 今別町	023035	1,064 	1,731 	2,187 	2,938 	2,995 	2,732 	2,383 	2,474 	2,531 	2,218 	1,904 	－	－
青森県 蓬田村	023043	358 	－	－	1,053 	－	－	1,300 	931 	－	－	－	－	－
